# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
141.5530797; 6.9075413; 62.1900960; 1.5829270; -0.0002372; 21.7698351; 5.4350839
143.5467851; 4.9139648; 62.1665295; 1.5822334; -0.0004585; 22.2620222; 5.3833594
145.5404904; 2.9204052; 62.1447453; 1.5811695; -0.0005975; 22.7390258; 5.4016837
147.5341958; 0.9267930; 62.1253330; 1.5798622; -0.0006976; 23.2078010; 5.3904606
149.5279011; -1.0668606; 62.1086813; 1.5784164; -0.0007527; 23.6663476; 5.3430109
151.5216065; -3.0604756; 62.0950009; 1.5768977; -0.0007649; 24.1122539; 5.3577187
153.5153118; -5.0541592; 62.0843593; 1.5753719; -0.0007576; 24.5512568; 5.3462463
155.5090172; -7.0478774; 62.0767230; 1.5738908; -0.0007282; 24.9816311; 5.3024024
157.5027225; -9.0415177; 62.0719714; 1.5724858; -0.0006785; 25.4012745; 5.3142742
159.4964279; -11.0352360; 62.0699160; 1.5711879; -0.0006200; 25.8150139; 5.3023772
161.4901332; -13.0289775; 62.0703223; 1.5700199; -0.0005517; 26.2213214; 5.2615575
163.4838386; -15.0226081; 62.0729173; 1.5689951; -0.0004752; 26.6183712; 5.2710866
165.4775439; -17.0163299; 62.0774012; 1.5681258; -0.0003957; 27.0102883; 5.2585226
167.4712493; -19.0100689; 62.0834572; 1.5674193; -0.0003130; 27.3956851; 5.2203044
169.4649546; -21.0036757; 62.0907565; 1.5668786; -0.0002293; 27.7729916; 5.2278395
171.4586600; -22.9973930; 62.0989675; 1.5665049; -0.0001461; 28.1457742; 5.2143734
173.4523653; -24.9911263; 62.1077596; 1.5662952; -0.0000643; 28.5127419; 5.1784922
175.4460707; -26.9847127; 62.1168090; 1.5662444; 0.0000126; 28.8725688; 5.1843266
177.4397760; -28.9784385; 62.1258096; 1.5663434; 0.0000835; 29.2283641; 5.1697914
179.4334814; -30.9721752; 62.1344810; 1.5665710; 0.0001448; 29.5789004; 5.1364018
181.4271867; -32.9657272; 62.1425925; 1.5668914; 0.0001708; 29.9231063; 5.1409448
183.4208921; -34.9594625; 62.1500249; 1.5672555; 0.0002038; 30.2636969; 5.1254086
185.4145974; -36.9532232; 62.1566388; 1.5677230; 0.0002652; 30.5994846; 3.3023343
187.4083028; -38.9469028; 62.1622152; 1.5682819; 0.0002890; 30.8138966; 1.7173924
189.4020081; -40.9407257; 62.1666441; 1.5688714; 0.0002967; 30.9248148; -0.8631480
191.3957135; -42.9344350; 62.1698989; 1.5694530; 0.0002868; 30.8691180; -4.3652783
193.3894188; -44.9282944; 62.1720220; 1.5699996; 0.0002579; 30.5858838; -6.3195629
195.3831242; -46.9220156; 62.1731204; 1.5704781; 0.0002165; 30.1711385; -8.9027689
197.3768295; -48.9156789; 62.1733642; 1.5708502; 0.0001567; 29.5769944; -10.6309473
199.3705349; -50.9096905; 62.1729840; 1.5711047; 0.0000990; 28.8514930; -10.9473104
201.3642402; -52.9032940; 62.1722100; 1.5712470; 0.0000481; 28.0848219; -10.9178312
203.3579456; -54.8969191; 62.1712396; 1.5713072; 0.0000123; 27.2987792; -10.9191680
205.3516509; -56.8911035; 62.1702092; 1.5713166; 0.0000025; 26.4893212; -10.7987434
207.3453563; -58.8845446; 62.1691698; 1.5713155; -0.0000110; 25.6636925; -10.7582659
209.3390616; -60.8780925; 62.1681826; 1.5712546; -0.0000501; 24.8138568; -10.7740269
211.3327670; -62.8725962; 62.1672211; 1.5714423; 0.0003223; 23.9325515; -10.6419254
213.3264723; -64.8662976; 62.1649879; 1.5724957; 0.0005762; 23.0289664; -10.5941830
215.3201776; -66.8596362; 62.1606336; 1.5733762; 0.0003065; 22.0927575; -10.6267777
217.3138830; -68.8536754; 62.1549106; 1.5739912; 0.0003719; 21.1120015; -10.2782637
219.3075883; -70.8455925; 62.1476542; 1.5751486; 0.0013370; 20.1179758; -9.8454480
221.3012937; -72.8393239; 62.1346147; 1.5803733; 0.0038899; 19.1174032; -8.6030161
